comp100323_c0_seq1	scaffold10970	95.161	62	3	0	3	64	58201	58262	5.51e-22	99.0
comp100333_c1_seq1	scaffold10970	88.800	125	10	3	1	121	99916	100040	2.05e-37	150
comp100468_c0_seq1	scaffold9504	100.000	28	0	0	206	233	59077	59104	5.04e-08	52.8
comp101573_c0_seq1	scaffold32578	98.341	422	6	1	1	422	55507	55927	0.0	739
comp101587_c0_seq1	scaffold30278	100.000	29	0	0	275	303	60566	60538	1.86e-08	54.7
comp102059_c0_seq1	scaffold71773	81.875	160	23	5	1	158	55978	55823	2.38e-31	130
comp102699_c0_seq1	scaffold15463	86.765	68	9	0	91	158	6270	6203	2.79e-15	76.8
comp103000_c0_seq1	scaffold59644	98.305	118	2	0	105	222	2781	2664	9.63e-55	207
comp103462_c0_seq1	scaffold26337	83.784	111	6	2	156	254	134703	134813	1.03e-20	95.3
comp103462_c0_seq2	scaffold26337	83.784	111	6	2	185	283	134703	134813	1.14e-20	95.3
comp104138_c0_seq4	scaffold32578	92.683	41	3	0	283	323	46463	46423	4.28e-10	60.2
comp106089_c0_seq1	scaffold4463	90.625	96	7	2	1	96	14460	14367	1.31e-29	126
comp106089_c0_seq1	scaffold18558	89.362	94	8	1	6	99	22112	22203	7.91e-27	117
comp106129_c0_seq1	scaffold31723	94.444	36	0	1	338	371	58148	58113	2.31e-08	54.7
comp106307_c0_seq1	scaffold27692	89.595	173	17	1	29	201	71732	71903	3.99e-58	219
comp106428_c0_seq1	scaffold3071	81.761	159	27	2	671	828	35052	35209	2.73e-31	132
comp106521_c1_seq1	scaffold71773	99.728	367	1	0	1	367	44013	44379	0.0	673
comp106521_c1_seq2	scaffold71773	98.868	265	2	1	170	433	44115	44379	6.31e-134	472
comp106612_c0_seq1	scaffold19489	78.243	239	27	14	1	221	22862	23093	2.13e-31	130
comp106935_c0_seq1	scaffold59644	96.970	33	1	0	59	91	15633	15665	4.02e-09	56.5
comp107209_c0_seq1	scaffold4463	100.000	28	0	0	1	28	19933	19960	7.92e-08	52.8
comp107209_c0_seq2	scaffold4463	100.000	28	0	0	1	28	19933	19960	8.68e-08	52.8
comp108423_c0_seq1	scaffold19489	100.000	37	0	0	214	250	8784	8748	5.40e-13	69.4
comp108521_c1_seq1	scaffold45727	87.387	111	6	6	32	137	7643	7750	1.42e-28	121
comp109139_c0_seq1	scaffold71773	97.345	791	8	1	1	791	12356	11579	0.0	1332
comp109139_c0_seq1	scaffold71773	100.000	35	0	0	1	35	12418	12384	2.34e-11	65.8
comp109262_c2_seq1	scaffold27692	87.912	91	10	1	552	641	70313	70223	1.48e-23	106
comp109516_c0_seq1	scaffold15463	97.436	39	1	0	1	39	89622	89660	1.98e-12	67.6
comp109611_c0_seq1	scaffold26960	99.540	652	2	1	1	652	51614	50964	0.0	1186
comp109757_c0_seq1	scaffold10970	84.252	127	15	3	232	358	6192	6313	1.11e-27	119
comp109892_c0_seq1	scaffold27692	86.179	123	17	0	250	372	31084	31206	2.91e-32	134
comp110239_c0_seq1	scaffold10970	81.333	150	26	2	10	159	23612	23759	1.29e-28	121
comp110356_c0_seq1	scaffold26960	93.396	106	7	0	101	206	4043	3938	9.06e-40	158
comp110852_c0_seq1	scaffold27692	89.474	57	5	1	3	58	1096	1152	2.15e-13	71.3
comp111092_c0_seq1	scaffold71773	89.157	83	9	0	84	166	41904	41822	1.18e-23	104
comp111425_c0_seq1	scaffold10970	84.817	191	17	7	32	221	90620	90441	5.81e-47	182
comp111891_c0_seq1	scaffold18558	98.644	295	3	1	1	295	43810	44103	4.12e-149	521
comp111891_c1_seq1	scaffold18558	100.000	213	0	0	209	421	43600	43388	1.36e-110	394
comp111891_c1_seq1	scaffold18558	100.000	66	0	0	1	66	43832	43767	7.11e-29	122
comp112069_c0_seq1	scaffold71773	99.528	212	1	0	1	212	33598	33809	1.10e-108	387
comp112069_c1_seq1	scaffold71773	99.270	274	2	0	1	274	33127	33400	2.31e-141	496
comp112145_c0_seq1	scaffold3071	90.110	91	4	2	39	129	63503	63588	2.67e-26	113
comp112242_c0_seq1	scaffold4463	81.595	163	15	3	12	174	77600	77747	1.46e-28	121
comp113121_c0_seq1	scaffold9504	100.000	29	0	0	244	272	80726	80754	1.66e-08	54.7
comp113225_c0_seq1	scaffold59644	100.000	28	0	0	337	364	14772	14799	8.13e-08	52.8
comp113887_c0_seq1	scaffold71773	86.301	73	10	0	4	76	59446	59518	3.44e-16	80.5
comp113950_c0_seq1	scaffold4463	81.651	218	39	1	1	217	46886	47103	2.06e-46	180
comp114355_c0_seq1	scaffold30278	93.846	65	2	2	85	147	70908	70844	3.73e-21	97.1
comp114367_c0_seq1	scaffold9504	80.328	183	25	9	349	528	77098	76924	2.38e-30	128
comp114814_c1_seq1	scaffold71773	83.537	164	20	6	620	778	31079	30918	7.98e-36	147
comp115012_c0_seq1	scaffold4463	93.333	45	3	0	634	678	22804	22760	5.55e-12	67.6
comp115109_c0_seq1	scaffold9504	83.540	322	23	13	1	299	69164	68850	1.29e-74	274
comp115112_c0_seq1	scaffold45727	100.000	28	0	0	28	55	35965	35938	6.38e-08	52.8
comp115842_c0_seq1	scaffold45727	94.340	53	2	1	1	52	86303	86355	5.92e-16	80.5
comp115978_c0_seq1	scaffold5354	100.000	34	0	0	121	154	74092	74125	2.76e-11	63.9
comp115_c0_seq1	scaffold20302	94.149	188	6	5	20	205	65108	64924	5.13e-77	281
comp116148_c0_seq1	scaffold19489	91.837	49	4	0	162	210	46863	46815	6.20e-13	69.4
comp116494_c0_seq1	scaffold9504	90.594	202	17	2	1	202	64042	64241	1.42e-72	267
comp116510_c0_seq2	scaffold15463	91.736	242	19	1	1	241	66313	66072	6.14e-93	335
comp116553_c0_seq1	scaffold30278	82.979	141	24	0	41	181	40094	40234	9.78e-31	128
comp116679_c0_seq1	scaffold71773	87.264	212	25	2	1	211	42505	42295	8.98e-65	241
comp116679_c0_seq1	scaffold59644	86.473	207	23	2	1	206	14340	14542	3.25e-59	222
